statement,QCode,SolutionID,Language,Solutions
"
All submissions for this problem are available.
This problem was part of the CodeChef April Challenge.  All user submissions for this contest problem are publicly available here.
In the game of ""BattleShip V"", you control a cannon which is attacking a large enemy battleship, armed with many guns. Your goal is to destroy as many of the guns as possible.
The battle field is a 2D Cartesian grid, where your cannon is located at the origin.
The enemy battleship is a horizontal line segment located from the coordinates (X1 , Y) to (X2, Y).
There are exactly (X2 - X1 + 1) guns on the ship, located at the integer points (X1, Y), (X1+1, Y), ..., (X2, Y).


However, the problem is, you cannot always fire at a gun. There are supernatural rocks located at all points of the battlefield whose X and Y coordinates are both integers. In order to fire successfully at an enemy's gun, the line connecting your cannon and that gun must not
go through any rocks.


How many guns you successfully destroy?

Input

The first line contains t, the number of test cases (about 100). Then t test cases follow.


Each test case consists of one line containing three numbers Y, and X1, X2 (2100000000 > ≤ Y ≤ 2100000000, -2100000000 ≤ X 1 ≤ X2 ≤ 2100000000).

Output

For each test case, output the number of the enemy battleship's guns that your cannon can destroy.

Example

Input
1
2 -2 1


Output
2
 ",B3,S5209959,PYTH,"
    import numpy as np
    test=input('No of test cases: ')
    global n1
    
    def check(y,x):
      global n1 
      x=float(x)
      m=(y/x)
      n=0
      if m>0:
          pos=range(1, int(x))
      else:
          pos=range(int(x)+1, 0)
      
      for i in pos:
        k1=(m*i)
        k2=int(k1)
        if k1==k2:
           n=n+1
      
      if n>0:
          n1=n1+1
          
    for l in range(0, test):
      n1=0
      y=input('input y: ')
      x1=input('input x1: ')
      x2=input('input x2: ')
    
      for i in range(x1, x2+1):
        if i!=0:
          check(y, i)
      else:
        n1=n1+1
      print n1
      
    

"
"
All submissions for this problem are available.
This problem was part of the CodeChef April Challenge.  All user submissions for this contest problem are publicly available here.
Bugs have gotten into The Chef’s kitchen!  Help him trap them all and he’ll make you a batch of his famous chocolate chip cookies.  You are given a given a square map of the kitchen divided into tiles, and in each tile sits some known number of bugs.  You also have a square trap, which can be dropped to cover a certain number of tiles (the trap may only cover tiles from within the map, and must be aligned to the borders of the kitchen). However, the trap only catches bugs from one of the tiles which it has covered, having a minimum number of bugs on it. For all possible positions at which the trap can be dropped, determine number of bugs that will be caught.
Input
Two numbers, 0<  n  <= 1000 (size of the map), and 0< k <= n (size of the trap), followed by n rows with n numbers, determining the number of bugs on each tile.  The number of bugs on each tile will fit in an signed 32-bit integer.
Output
You should output n-k+1 rows with n-k+1 numbers in each row. 
Example

Input:
4 2
0 1 2 3
4 5 6 7
8 9 0 1
2 3 4 0

Output:
0 1 2
4 0 0
2 0 0
 ",B5,S270394,PYTH,"
    import pysco
    psyco.full()
    kitchen = []
    result = []
    tresult = []
    final = []
    n = 0
    k = 0
    
    if __name__ == '__main__':
        (n, k) = map(lambda v: int(v), raw_input().split(' '))
        i = 0
        while(i < n):
            kitchen.append([])
            kitchen[i] = map(lambda v: int(v), raw_input().split(' '))
            j = 0
            result.append([])
            while(j < n - k + 1):
                result[i].append(min(kitchen[i][j:j+k]))
                j += 1
            i += 1
        i = 0
        while(i < len(result[0])):
            tresult.append([])
            j = 0 
            while(j < len(result)):
                tresult[i].append(result[j][i])
                j += 1
            i += 1
        i = 0
        while(i < len(tresult)):
            i += 1
            final.append([])
        i = 0
        while(i < len(tresult)):
            j = 0
            while(j < len(tresult)):
                final[j].append(min(tresult[i][j:j+k]))
                j += 1
            i += 1
        i = 0
        while(i < len(tresult)):
            j = 0
            while(j < len(tresult)):
                print(final[i][j]),
                j += 1
            print
            i += 1
        
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin and Russian. Translations in Vietnamese to be uploaded soon.
Two cheeky thieves (Chef being one of them, the more talented one of course) have came across each other in the underground vault of the State Bank of Churuland. They are shocked! Indeed, neither expect to meet a colleague in such a place with the same intentions to carry away all the money collected during Churufest 2015.


They have carefully counted a total of exactly 1 billion (109) dollars in the bank vault. Now they must decide how to divide the booty. But there is one problem: the thieves have only M minutes to leave the bank before the police arrives. Also, the more time they spend in the vault, the less amount could carry away from the bank. Formally speaking, they can get away with all of the billion dollars right now, but after t minutes they can carry away only  1 billion * pt dollars, where p is some non-negative constant less than or equal to unity, and at t = M, they get arrested and lose all the money.
They will not leave the vault until a decision on how to divide the money has been made.

The money division process proceeds in the following way: at the beginning of each minute starting from the 1st (that is, t = 0), one of them proposes his own way to divide the booty. If his colleague agrees, they leave the bank with pockets filled with the proposed amounts of dollars. If not, the other one proposes his way at the next minute etc. To escape arrest, they can only propose plans till the beginning of the Mth minute (i.e., till t = M-1).
Each thief wants to maximize his earnings, but if there are two plans with the same amounts for him, he would choose the one which leads to a larger total amount of stolen dollars.

Chef is about to start this procedure, and he is the first to propose a plan. You are wondering what will be the final division of money, if each thief chooses the optimal way for himself and money is considering real.
Input
The first line of input contains an integer T denoting the number of test cases. The description of T test cases follows. The only line of input for each test case contains an integer M denoting the number of minutes until arrest and a double denoting the constant p.
Output
For each test case, output a single line containing two space-separated doubles denoting the amount of dollars each thief will get in the optimal division. First number: dollars amassed by Chef, and second: by his colleague. The answer will be considered correct if its absolute error doesn't exceed 10-2.
Constraints and subtasks

1 ≤ T ≤ 105
0 ≤ p ≤  1  

Subtask 1 (15 points) :
1 ≤ M ≤ 3

Subtask 2 (55 points) :
1 ≤ M ≤  103

Subtask 3 (30 points) :
1 ≤ M ≤ 109
Example
Input:
2
1 0.5
2 0.5
Output:
1000000000.0 0.0
500000000.0 500000000.0

Explanation
Example case 1. In the second case, if decision isn't made at t = 0, total amount of money decreases to 5*108 at t = 1 which leads to a situation worse than the given solution. ",BANROB,S11570165,PYTH,"
    T = input()
    for _ in xrange(T):
        m,p = map(float,raw_input().strip().split())
        ans = 1e9 * (1 - (-p)**m)/(1+p)
        print ""%.11lf %.11lf"" % (ans,1e9-ans)
        

"
"
All submissions for this problem are available.

Chef Ciel has forgotten the combination to the safe.
It's a serious incident, because the safe contains this month's waitstaff salaries.


To open the safe, N boxes and N balls are used.
The safe has N boxes that numbered from 1 to N uniquely.
Each box can contain only one ball.
Now, the box i contains one ball that numbered i, and the safe is locked.


The only things which Ciel remember for unlocking the safe are the followings:



She must put every ball into some box.


Let the box i contains the ball Ai.
When the safe is opened the number of divisors of i equals to the number of divisors of Ai for all i from 1 to N. 


How many combinations which satisfy above conditions should she check?
The number of combinations can be very large, so you should print this number modulo 500009 (5*105+9).

Input

The first line contains an integer T, the number of test cases.
Then T test cases follow.
The only line of each test case contains an integer N.

Output

For each test case, print the number of combinations modulo 500009 (5*105+9).

Constraints

1 ≤ T ≤ 100000 (105)
3 ≤ N ≤ 2000000000 (2*109)

Sample Input
3
3
5
100Sample Output
1
5
43264Output details

In the first case, the valid combination is

Box: 123
Ball: 132
since the number of divisors of 2 is equal to the number of divisors of 3.


In the second case, the valid combinations are

Box: 12345 12345 12345 12345 12345
Ball: 12543 13245 13542 15243 15342 ",BBSYSTEM,S1657628,PYTH,"
    ## Observations
    ## 1. The problem is asking us for the following quantity Q(n) (munged slightly, see below)
    ##    Q(n) = (number of pos integers <= n with 1 divisor)! * (num of pos integers <= n with 2 divisors)! * ...
    ## 2. The two modifications we need to make to Q(n) are
    ##     -- We need Q(n) - 1, not Q(n)
    ##     -- we need to take the modulus mod 50009
    ## 3. We can relate Q(n) to Q(n-1) in the following way
    ##     -- Lets say that n has k divisors
    ##     -- Lets say that m positive integers strictly less than k also had k divisors.
    ##     -- We claim Q(n) = Q(n-1) * (m+1).  This can be seen by examining the form above and noting that the
    ##        expansion above for Q(n-1) will contain a m! while the expantion for Q(n) will contain a
    ##        (m+1)! = (m+1) * m!.  The other terms are the same.
    ## 4. It still seems a bit daunting that we have a recurrence to find Q(n), but n is allowed to range all
    ##    the way to 2,000,000,000!!  We really have 2 daunting problems here:
    ##      -- How to efficiently calculate the number of divisors in n for large n
    ##      -- How to clip off the recursion to something tolerable
    ## 5. For the first problem, we can divide this into two parts:
    ##      -- Coming up with a list of primes to use to test n
    ##      -- Figuring out how to use that list of primes to figure out how many divisors are in an integer
    ## 6. As far as coming up with a list of primes, we only need a list of primes up to about 15000 to test
    ##    an integer n up to 2,000,000,000 (since, if n is composite, one of the factors must be <= sqrt(n)).
    ##    To create this list, we can use a sieve of erastothenes.  We only have to iterate up to primes <= 125 or so,
    ##    since by similar logic above, we only have to sieve on the sqrt() of the size of the sieve.
    ## 7. Now that we have a list of primes <= 15,000, we need an efficient way to figure out how many divisors
    ##    an integer has.  Assuming we are doing this recursively, this seems like a reasonable approach (without
    ##    having to create a sizable data structure for storing prime factorizations of every number)
    ##    -- Iterate through the primes until we find one that divides n (if none do, then n is prime)
    ##    -- Use that prime p to deconstruct n (by repeated division) to n = p^k * residual where residual is not divisible by p
    ##    -- The number of divisors of n is then (k+1) * the number of divisors of the residual
    ## 8. Once one of the equivalence classes hits 500009 members (500009 is indeed prime), we can stop, since the results after that will simply be Q(k) = 0 mod 500009.
    ##    A quick offline check using the functions sieve() and divisors() below helps us find when this is so we can budget.
    ## def main() :
    ##     primelist = sieve(2000)
    ##     divlist = [0] * 4000001
    ##     divcount = { 1 : 1 } 
    ##     divlist[1] = 1
    ##     for k in xrange (2,4000001) :
    ##         ndiv = divisors(k,primelist,divlist)
    ##         divcount[ndiv] = divcount.get(ndiv,0) + 1
    ##         if (divcount[ndiv] == 500009) : print ""FOUND 500009: k = %d"" % k 
    ##         if k % 1000 == 0:
    ##             ll = sorted(divcount.items(), key=lambda x : (-1*x[1],x[0]))
    ##             print ""k=%s,  Top 5 eq classes %s %s %s %s %s"" % (k,ll[0],ll[1],ll[2],ll[3],ll[4])
    ##  The magic number is : 2229283
    ## 9. Scaling down our numbers:
    ##    Only need primes up to 2000 for 4000000 (a bit of overkill, but whatever)
    ##    We size our arrays to an even 2.3mil
    
    
    def sieve (n) :
        ss = [0] * 2 + [1] * (n-1);
        i = 2;
        while (i * i < n) :
            if (ss[i] == 1) :
                for k in xrange (2*i,n+1,i) : ss[k] = 0
            i += 1;
        primelist = [k for k in range (2,n+1) if ss[k] == 1]
        return primelist
    
    def divisors (n, primelist, divlist) :
        for p in primelist :
            if p*p > n:
                break
            if (p == n) :
                divlist[n] = 2
                return 2
            if (n % p == 0) :
                junkn = n
                junkn /= p
                count = 1;
                while (junkn % p == 0) :
                    junkn /=p
                    count += 1
                divlist[n] = (count+1) * divlist[junkn]
                return divlist[n]
        divlist[n] = 2
        return 2
        
    def domore (lastn, n, primelist, divlist, divcount, qlist) :
        for k in xrange (lastn+1, n+1) :
            ndiv = divisors(k,primelist,divlist)
            divcount[ndiv] = divcount.get(ndiv,0) + 1
            qlist[k] = qlist[k-1] * divcount[ndiv] % 500009
     
    import sys
    filein = sys.stdin
    ##filein = open(""bbsystem.in"",'r')
    filell = filein.readlines()
    f = filell.__iter__()
    outbuf = []
      
    def main() :
        primelist = sieve(2000)
        divlist = [0] * 2300001
        qlist = [0] * 2300001
        qlist[1] = 1
        divcount = { 1 : 1 } 
        divlist[1] = 1
        donesofar = 1
        
        t = int(f.next())
        for tt in xrange (t) :
            n = int(f.next())
            if n > 2300000 :
                outbuf.append(""500008"")
                continue
            if n > donesofar :
                domore(donesofar,n,primelist,divlist,divcount,qlist)
                donesofar = n
            outbuf.append(""%d"" % ((qlist[n] - 1) % 500009))
                
        print ""\n"".join(outbuf)
    main()

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.

Chef is going to participate in 'Who will prepare the most beautiful sandwich?' reality show. The show requires participants to prepare sandwiches that not only look beautiful, but taste delicious too. The show also releases a list of ingredients that you are allowed to use in the sandwich. This time, the list consists of K ingredients. For the purpose of our problem, you can assume that each ingredient is denoted by a lower case Latin character. So the first K lower case Latin letters will describe all the ingredients.

Chef's sandwich consists of N parts of ingredients packed in a row. You can think of it as a string of length N containing the first K English letters only.

Chef thinks the beauty of the sandwich is an integer that can be computed in the following way: 

First partition the sandwich into consecutive blocks of maximal length such that all the parts in the same block are of same ingredient.
Beauty of this sandwich is the sum of squared lengths of the blocks.


For example, let the sandwich be denoted by ""aadddbabb"".

Chef partitions it in this way - aa, ddd, b, a, bb
Beauty of this sandwich is equal to 2*2 + 3*3 + 1*1 + 1*1 + 2*2 = 19


There will be Q judges in the show. Chef diligently worked for days in preparing Q such sandwiches before the show. Now, it is the show time. He just got an information from the back stage anchor that some of the judges are allergic to some ingredients. Now, Chef has to sit down and take out each sandwich and remove all the ingredients that the judge (the one who is supposed to taste it) is allergic to. After doing that, he will rearrange the parts of the sandwich continuously without leaving any ugly looking gap.


Now, Chef is worrying about the beauty of the sandwiches presented to various judges. He asks you to help in this.

Input
The first line of the input contains two space separated integers N and K, denoting the number of parts in the sandwich and the number of available ingredients, respectively.
The second line contains a string of length N having only the first K Latin lower case letters, denoting the sandwich.
The third line contains a single integer Q, denoting the number of judges.
Each of the following Q lines contains a string denoting the ingredients to which the corresponding judge is allergic. The string will be sorted in ascending order of their characters. No character will appear more than once in it.
Output
For each query, output a single integer in a separate line denoting the beauty of the sandwich that the corresponding judge will be tasting.
Constraints
1 ≤ N ≤ 200,000
1 ≤ K ≤ 18
1 ≤ Q ≤ 262,143
Example
Input:
7 4
acabada
2
b
ac

Output:
8
2
Explanation
First judge is allergic to ingredient denoted by 'b'. So Chef has to remove this ingredient from the judge's sandwich. After that, the sandwich will be ""acaada"". Its beauty will be 1*1 + 1*1 + 2*2 + 1*1 + 1*1 = 8

Second judge is allergic to ingredients denoted by characters 'a' and 'c'. After removing these ingredients, the sandwich will become ""bd"" and its beauty will be 2.
 ",BEAUTY,S11972347,PYTH,"
    def beautyof(sandwich):
        i = 0
        beauty = 0
        l = len(sandwich)
        while i<l:
            a = sandwich[i]
            pow = 1
            while i<l-1 and sandwich[i+1]==a:
                i += 1
                pow += 1
            i += 1
            beauty += pow**2
        return beauty
    N, K = map(int, raw_input().split())
    sandwich = raw_input()
    Q = input()
    for q in xrange(Q):
        newwich = sandwich[:]
        alings = raw_input()
        for aling in alings:
            newwich = newwich.replace(aling, '')
        print beautyof(newwich)

"
"
All submissions for this problem are available.
 Given a sequence of positive integers a1,
a2, …, aN, and 1 ≤
i ≤ j ≤ N, the partial sum from
i to j is ai +
ai+1 + … + aj.
 In this problem, you will be given such a sequence and two
integers P and K. Your task is to find the smallest
partial sum modulo P that is at least K.

For example, consider the following sequence of integers:

    12     13     15     11     16     26     11

 Here N = 7. Suppose K = 2 and P = 17.
Then, the answer is 2 because 11+16+26 = 53 and 53 mod 17 is 2.  On
the other hand, if K = 0 the answer is 0 since 15 + 11 + 16 +
26 = 68 and 68 mod 17 is 0.
Input format
The first line contains three integers N, K and
P.  This is followed by N lines each containing a
single integer.
You may assume 1  ≤ N  ≤ 100000.
Output format
A single integer indicating the minimum possible segment sum modulo
P that is at least K.
Example:
Sample Input

7 2 17
12
13
15
11
16
26
11
Sample Output

2
 ",BESTSUM,S112500,PYTH,"
    n,k,p = [int(x) for x in raw_input().split()]
    numbers = [int(raw_input()) for x in xrange(n)]
    
    min = p
    for sum_count in xrange(1, len(numbers)+1):
        for x in xrange(1, len(numbers)-sum_count):
            tmp = sum(numbers[x:x+sum_count+1]) % p
            if tmp >= k and tmp < min:
                min = k
    
    print k

"
"
All submissions for this problem are available.
Harry is a bright student. To prepare thoroughly for exams, he completes all the exercises in his book! Now that the exams are approaching fast, he is doing book exercises day and night. He writes down and keeps updating the remaining number of exercises on the back cover of each book.
Harry has a lot of books messed on the floor. Therefore, he wants to pile up the books that still have some remaining exercises into a single pile. He will grab the books one-by-one and add the books that still have remaining exercises to the top of the pile.
Whenever he wants to do a book exercise, he will pick the book with the minimum number of remaining exercises from the pile. In order to pick the book, he has to remove all the books above it. Therefore, if there are more than one books with the minimum number of remaining exercises, he will take the one which requires the least number of books to remove. The removed books are returned to the messy floor. After he picks the book, he will do all the remaining exercises and trash the book.
Since number of books is rather large, he needs your help to tell him the number of books he must remove, for picking the book with the minimum number of exercises.

Note that more than one book can have the same name.

Input
The first line contains a single integer N denoting the number of actions. Then N lines follow. Each line starts with an integer. If the integer is -1, that means Harry wants to do a book exercise. Otherwise, the integer is number of the remaining exercises in the book he grabs next. This is followed by a string denoting the name of the book.
Output
For each -1 in the input, output a single line containing the number of books Harry must remove, followed by the name of the book that Harry must pick.
Constraints

1 < N ≤ 1,000,000 0 ≤ (the number of remaining exercises of each book) < 100,000 The name of each book consists of between 1 and 15 characters 'a' - 'z'. Whenever he wants to do a book exercise, there is at least one book in the pile.

Example

Input:
6
9 english
6 mathematics
8 geography
-1
3 graphics
-1

Output:
1 mathematics
0 graphics
 ",BEX,S10647731,PYTH,"
    from operator import itemgetter
    arr=[]
    n=int(raw_input())
    for i in range(n):
        x=list(map(str,raw_input().split()))
        if len(x)==2:
            x[0]=int(x[0])
            arr.append((x[0],x[1]))
        else:
            b=min(arr,key=itemgetter(0))
            counter=0
            #print arr,b[0]
            for j in range(len(arr)-1,-1,-1):
                if arr[j][0]==b[0]:
                    break
                arr.pop()
                counter+=1    
            print counter,arr[-1][1]

"
"
All submissions for this problem are available.
The relationship between The University of Byteland and King Johnny was never a friendly one. The king was the easy-going, open-minded sort of person who is prepared to turn a blind eye to the embezzlement of public funds, but inwardly revolts at the thought of money going to waste, and supporting a university was to the king a perfect example of a waste of money. On the other hand, the chancellor of the university showed no tolerance whatsoever, and frequently stated in public that Byteland was being governed by a monarch who took terrible decisions when he was drunk and even worse ones when he was sober. After some time of bad-tempered coexistence, the king had had enough and decided to close down the university. However, the king's councillors advised against this move, suggesting it might cause social unrest. The king yielded to their advice, and instead established a law which banned all organisations, clubs and associations active at the university.

This action had a rather curious effect on the usually lazy students of the university. They had never before even thought of organising any sort of fellowship, but now they immediately decided they needed to set one up. And this is how the Secret Fellowship came to life.

The main problem that faced the management of the Fellowship was to organise members' meetings in such a way as to minimise the risk to the participants. It was decided that the n members of the fellowship should be split into k secret divisions, each consisting of at least 2 members. All members belonging to the same division would then meet regularly, and they would take it in turns to host the meetings of the division in their houses.

But one more important factor has to be taken into account -- the laziness of students. It is therefore your task to form the divisions in such a way that the furthest distance a student may ever be asked to walk is as short as possible.
Input
The first line of input contains a single integer t, the number of test cases (t=1000). t test cases follow.

Each test cases starts with a line containing two integers n k, denoting the number of students and the number of divisions to be formed, respectively (2<=2k<=n<=200). Each of the next n lines contains two integers xi yi each (-1000 <= xi,yi <= 1000), denoting the coordinates of the houses of successive students.
Output

For the i-th test case output a line with the text case i Y or case i N, specifying whether you wish to solve the given case. Then in the former case print exactly k lines. Each line should start with integer nj (nj>=2) and be followed by a space separated list of exactly nj increasing integers sjl, denoting the students belonging to the j-th division, numbered in input order (1<=sjl<=n). All divisions must be disjoint and the sum of all numbers nj must equal n.
Score

The score awarded to your program is the total of scores for the test cases you chose to solve.

For each solved test case you will receive diam / (d*k) points, where diam denotes the distance between the two furthest houses of members of the fellowship, and d is the distance between the two furthest houses of members belonging to the same division.
Example

Input:
2
6 3
0 0
1 0
0 1
1 1
2 0
2 1
6 2
0 0
1 0
0 1
1 1
2 0
2 1
6 2
0 0
1 0
0 1
1 1
2 0
2 1

Output:
case 1 Y
3 1 2 4
3 3 5 6
case 2 Y
3 1 2 5
3 3 4 6
case 3 Y
2 1 3
4 2 4 5 6

Score:
1.849003

Bonus info: If score = xxx.xxxaaa, aaa means the number of test cases with Y answer.
",BFORG,S109159,PYTH,"
    #!/usr/bin/python
    
    num_cases = int(raw_input())
    for i in range(num_cases):
    	print ""case"",i,""N""
    

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese, Russian and Vietnamese as well.
WARNING: This problem has large input / output files. Use of faster I/O methods is recommended.
You are given an array A consisting of N integers. You have to answer M queries on it. Each query belongs to one of the following three types:

1 L R X : multiply each number in the range AL, AL + 1, ..., AR by X.
2 L R Y : Replace the elements AL, AL + 1, ..., AR by Y, 2 * Y, ... (R - L + 1) * Y. In other words, the number Ai will be equal to (i - L + 1) * Y for each i from L to R.
3 L R : Find the product of all numbers in the range AL, AL + 1, ..., AR. As this number could be very large, you have to just find the number of trailing zeros of this number when represented in decimal notation.

Input
The first line of the input contains an integer T denoting the number of test cases. T test cases follow.
The first line of each test case contains two space-separated integers N and M.
The second line contains N space-separated integers denoting A1, A2, ..., AN
For next M lines, each line contains a query.
Each query is given by three or four (please refer to the statement) space separated integers.
The first integer denotes type of the query. For every type of query next two integers denote L and R. For each query of type 1, next integer denote X. For each query of type 2, next integer denote Y.
Output
For each test case, output a single line containing the sum of answers of all the queries of type 3.
Constraints

1 ≤ T ≤ 5
1 ≤ N, M, N + M  ≤ 105
1 ≤ L ≤ R ≤ N
1 ≤ X, Y, Ai ≤ 109

Subtasks

Subtask #1 (18 points): 1 ≤ N, M, X, Y, Ai ≤ 10
Subtask #2 (31 points): 1 ≤ N, M ≤ 1000
Subtask #3 (51 points): original constraints

Example
Input:
1
5 5
2 4 3 5 5
3 2 4
3 2 5
2 2 4 1
1 3 3 10
3 1 5

Output:
5

Explanation
Array: [2, 4, 3, 5, 5]

1st query: [4, 3, 5], 4 * 3 * 5 = 60 : answer 1.
2nd query: [4, 3, 5, 5], 4 * 3 * 5 * 5 = 300 : answer 2.
3rd query: [2, 4, 3, 5, 5] => [2, 1, 2, 3, 5].
4th query: [2, 1, 2, 3, 5] => [2, 1, 20, 3, 5].
5th query: [2, 1, 20, 3, 5], 2 * 1 * 20 * 3 * 5 = 600 - answer 2.

Sum of all answers = 5. ",BGQRS,S11887302,PYTH,"
    import math
    
    def F(n, x):
    	
    	count = 0
    	while (n % x == 0):
    		count = count + 1
    		n = n/x
    	return count
    
    
    T = input()
    while (T > 0):
    	res = 0
    	x = raw_input()
    	x = x.split("" "")
    	
    	array = raw_input()
    	array = array.split("" "")
    	iarray = [0] * int(x[0])	
    
    	for i in range(int(x[0])):
    		iarray[i] = [F(int(array[i]), 2), F(int(array[i]), 5)]
    	
    	
    	
    	for j in range(int(x[1])):
    		S = raw_input()
    		S = S.split("" "")
    		if (S[0] == '1'):
    			for i in range(int(S[1]) - 1, int(S[2])):
    				t = F(int(S[3]), 2)
    				f = F(int(S[3]), 5)
    				iarray[i][0] = iarray[i][0] + t
    				iarray[i][1] = iarray[i][1] + f
    
    		elif (S[0] == '2'):
    			for i in range(int(S[1]) - 1, int(S[2])):
    				t = F((i - int(S[1]) + 2) * int(S[3]), 2)
    				f = F((i - int(S[1]) + 2) * int(S[3]), 5)
    				iarray[i][0] = t
    				iarray[i][1] = f
    		else:
    			t = 0
    			f = 0
    			for i in range(int(S[1]) - 1, int(S[2])):
    				t = t + iarray[i][0]
    				f = f + iarray[i][1]
    			res = res + min(t, f)
    		
    
    	print res
    
    	T = T - 1

"
"
All submissions for this problem are available. Read problems statements in Mandarin Chinese and Russian as well.
The much anticipated video game ""BiCo Grid"" has been released. The rules of ""Bico Grid"" are very simple.
The game field is a 100x100 matrix, where each cell is either a blocked cell, or a cell with some number of coins. For a regular player the look of the field seems pretty random, but the programmer in you recognizes the following pattern: the i-th cell on the n-th row contains C(n, i) coins if and only if 0 ≤ i ≤ n, all other cells are blocked. Record C(n, i) denotes binomial coefficient ""n choose i"".
The player starts from the cell situated at row R and column C in the matrix. The objective is to collect exactly G number of coins from matrix in several moves. There are some rules: 

On each move the player must collect all the coins from some unblocked cell in the current column.
The rules of the game state, that player mustn't be really greedy, so the number of coins he collected must not increase. In other words, if at some move the player collected X coins then further he cannot collect more than X coins in a single move.
After each move, the player is immediately moved to some cell of the column W-1 (where W denotes the current column of the player). If the current column of the player has index 0, the game ends.
The game ends when player collects exactly G number of coins.

You are given the description of the game. Please, output the sequence of moves that win the game (collect exactly G coins)! It is guaranteed that if the player will play optimally it is possible to win the game.
Input
The first line of the input contains an integer T denoting the number of test cases. Then T lines follows. Each containing three integers, R denoting the starting row, C, denoting the starting column, and G, denoting the number of coins to be collected.
Output
For each test case, output two lines. First line contains K, the number of column visited before completion of game. Second line contains K space separated integers, the number of coins collected from the cells, in the order they were collected.
It is guaranteed that a solution exists. And if there are multiple solutions, print any of them.
Constraints
1 ≤ T ≤ 100000 ≤ C ≤ 490 ≤ R ≤ 991 ≤ G ≤ 1012
Example
Input:
3
3 2 5
3 3 10
5 4 7

Output:
2
3 2 
1
10 
3
5 1 1
Explanation
Example case 1. We first pick 3 coins from [3, 2] then we pick 2 coins from [2, 1]Example case 2. As 3rd column contains 10 coins in cell [5, 3] we pick it.Example case 3. We first pick 5 coins from [5, 4] then we pick 1 coin from [3, 3] and again we pick 1 coin from [2, 2]. ",BICO,S3785756,PYTH,"
    C = [[0 for x in xrange(100)] for x in xrange(100)]
    
    def dp():
        for i in range(100):
            for j in range(min(99, i)):
                if j == 0 or j == i:
                    C[i][j] = 1
                else:
                    C[i][j] = C[i - 1][j - 1] + C[i - 1][j];
    
    def work(r, c, g):
        maxUsed = -1
        ans = []
        x = r
        y =  c
        while C[x][y] < g:
            x = x + 1
            if x == 100:
                x = 99;
                break;
        while C[x][y] > g:
            x = x - 1;
            if x < 0:
                x = 0;
                break;
        if C[x][y] == g:
            print 1
            print g
            return;
    
        ans += [C[x][y]]
        g -= C[x][y]
        maxUsed = C[x][y]
        y = y - 1;
        while g > 0:
            while C[x][y] < g and C[x][y] <= maxUsed:
                x = x + 1;
                if x == 100:
                    x = 99;
                    break;
            while C[x][y] > g or C[x][y] >= maxUsed:
                x = x - 1;
                if x < 0:
                    x = 0;
                    break;
            ans += [C[x][y]]
            g -= C[x][y];
            y = y - 1;
    
        print len(ans);
        s = """"
        for q in ans:
            s += str(q) + "" ""
        print s
    
    
    if __name__ == '__main__':
        dp()
        T = int(raw_input())
        while T > 0:
            T = T - 1;
            r, c, g = map(int, raw_input().split());
            work(r, c, g)
        exit(0)
    

"
